"Step","male_silero - loss/g/fm","male_silero - loss/g/fm__MIN","male_silero - loss/g/fm__MAX"
"456","7.625969886779785","7.625969886779785","7.625969886779785"
"457","7.124937057495117","7.124937057495117","7.124937057495117"
"458","6.868831157684326","6.868831157684326","6.868831157684326"
"459","8.14477825164795","8.14477825164795","8.14477825164795"
"460","7.047469615936279","7.047469615936279","7.047469615936279"
"461","7.401604652404785","7.401604652404785","7.401604652404785"
"462","7.351386547088623","7.351386547088623","7.351386547088623"
"463","8.185931205749512","8.185931205749512","8.185931205749512"
"464","7.552268028259277","7.552268028259277","7.552268028259277"
"465","8.030801773071289","8.030801773071289","8.030801773071289"
"466","7.432265281677246","7.432265281677246","7.432265281677246"
"467","7.045384883880615","7.045384883880615","7.045384883880615"
"468","7.210490703582764","7.210490703582764","7.210490703582764"
"469","7.264027118682861","7.264027118682861","7.264027118682861"
"470","7.824746131896973","7.824746131896973","7.824746131896973"
"471","7.6659650802612305","7.6659650802612305","7.6659650802612305"
"472","7.8800859451293945","7.8800859451293945","7.8800859451293945"
"473","8.090763092041016","8.090763092041016","8.090763092041016"
"474","8.183992385864258","8.183992385864258","8.183992385864258"
"475","7.739768028259277","7.739768028259277","7.739768028259277"
"476","8.065788269042969","8.065788269042969","8.065788269042969"
"477","8.52403736114502","8.52403736114502","8.52403736114502"
"478","8.15338134765625","8.15338134765625","8.15338134765625"
"479","8.671146392822266","8.671146392822266","8.671146392822266"
"480","8.401488304138184","8.401488304138184","8.401488304138184"
"481","7.907169342041016","7.907169342041016","7.907169342041016"
"482","7.826488018035889","7.826488018035889","7.826488018035889"
